avg_size,edge_collisions,entropy_loss,episodes,policy_entropy,policy_loss,reward_rate,self_collisions,steps,t,value_loss
12.404296875,0.005859375,-0.07629518955945969,4309256,0.06539108604192734,-0.1108701229095459,21.0703125,0.00390625,110796800,7755.039719104767,0.3635866045951843
12.55078125,0.0,-0.07620524615049362,4309668,0.0782749205827713,-0.2065049260854721,19.1171875,0.009765625,110848000,7758.373264551163,0.36736130714416504
12.54296875,0.00390625,-0.07745444774627686,4310076,0.07818316668272018,-0.1342678964138031,23.0234375,0.001953125,110899200,7762.183152675629,0.34213927388191223
12.3671875,0.001953125,-0.07737773656845093,4310482,0.07283814996480942,-0.05127133056521416,22.046875,0.009765625,110950400,7765.516726493835,0.3566146492958069
12.974609375,0.00390625,-0.07583563774824142,4310876,0.06754853576421738,-0.18012553453445435,22.2421875,0.001953125,111001600,7769.326974153519,0.34130942821502686
13.328125,0.0,-0.07824313640594482,4311278,0.08410128951072693,-0.21417143940925598,23.4140625,0.005859375,111052800,7772.665338516235,0.3572041988372803
13.35546875,0.001953125,-0.07959667593240738,4311679,0.08435211330652237,-0.08984668552875519,20.6796875,0.00390625,111104000,7776.492640733719,0.3546515107154846
13.244140625,0.0078125,-0.07987676560878754,4312081,0.08654189109802246,-0.143599733710289,24.0,0.0078125,111155200,7779.828792095184,0.3523479402065277
12.455078125,0.005859375,-0.08123169094324112,4312511,0.08369861543178558,-0.2084960788488388,22.828125,0.005859375,111206400,7783.656809568405,0.3475775718688965
12.1328125,0.005859375,-0.08149300515651703,4312954,0.08564116060733795,-0.1387680321931839,21.8515625,0.00390625,111257600,7787.00838971138,0.35423022508621216
12.689453125,0.00390625,-0.0820111483335495,4313377,0.07766134291887283,-0.17438508570194244,24.5859375,0.001953125,111308800,7790.864351511002,0.3588126003742218
12.96484375,0.0,-0.08349333703517914,4313790,0.08158557862043381,-0.16972772777080536,19.1171875,0.005859375,111360000,7794.22863650322,0.3453570008277893
12.341796875,0.00390625,-0.08179465681314468,4314252,0.08036452531814575,-0.21205489337444305,27.90625,0.00390625,111411200,7798.072094917297,0.3551701307296753
12.572265625,0.009765625,-0.07968570291996002,4314714,0.0865151435136795,-0.15179821848869324,21.265625,0.001953125,111462400,7801.434777021408,0.35740453004837036
12.078125,0.00390625,-0.08164433389902115,4315194,0.08474250137805939,-0.2039867490530014,24.390625,0.00390625,111513600,7805.26855635643,0.3585067391395569
12.3203125,0.001953125,-0.07999861240386963,4315650,0.07284516841173172,-0.09836118668317795,20.484375,0.009765625,111564800,7808.609991788864,0.3573242723941803
12.203125,0.00390625,-0.08178305625915527,4316112,0.0902676060795784,-0.17969003319740295,19.3125,0.00390625,111616000,7812.434183359146,0.34968480467796326
